"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","Sequence","FromStopID","ToStopID","Distance"
"HSZ0007","0007","81","HSZ000701","000701","81",0,1,"","303809",""
"HSZ0007","0007","81","HSZ000701","000701","81",0,2,"303809","303810","197.7"
"HSZ0007","0007","81","HSZ000701","000701","81",0,3,"303810","303811","229.99"
"HSZ0007","0007","81","HSZ000701","000701","81",0,4,"303811","303812","166.29"
"HSZ0007","0007","81","HSZ000701","000701","81",0,5,"303812","303813","326.3"
"HSZ0007","0007","81","HSZ000701","000701","81",0,6,"303813","303814","198.28"
"HSZ0007","0007","81","HSZ000701","000701","81",0,7,"303814","303815","207.75"
"HSZ0007","0007","81","HSZ000701","000701","81",0,8,"303815","303816","300.18"
"HSZ0007","0007","81","HSZ000701","000701","81",0,9,"303816","303817","175.43"
"HSZ0007","0007","81","HSZ000701","000701","81",0,10,"303817","303818","477.17"
"HSZ0007","0007","81","HSZ000701","000701","81",0,11,"303818","303819","197.8"
"HSZ0007","0007","81","HSZ000701","000701","81",0,12,"303819","303820","452.22"
"HSZ0007","0007","81","HSZ000701","000701","81",0,13,"303820","303821","309.95"
"HSZ0007","0007","81","HSZ000701","000701","81",0,14,"303821","303822","355.41"
"HSZ0007","0007","81","HSZ000701","000701","81",0,15,"303822","303823","229.15"
"HSZ0007","0007","81","HSZ000701","000701","81",0,16,"303823","303824","1623.36"
"HSZ0007","0007","81","HSZ000701","000701","81",0,17,"303824","303825","239.61"
"HSZ0007","0007","81","HSZ000701","000701","81",0,18,"303825","303826","567.48"
"HSZ0007","0007","81","HSZ000701","000701","81",0,19,"303826","303827","184.53"
"HSZ0007","0007","81","HSZ000701","000701","81",0,20,"303827","303828","382.24"
"HSZ0007","0007","81","HSZ000701","000701","81",0,21,"303828","303829","372.06"
"HSZ0007","0007","81","HSZ000702","000702","81",1,1,"","303829",""
"HSZ0007","0007","81","HSZ000702","000702","81",1,2,"303829","303830","485.5"
"HSZ0007","0007","81","HSZ000702","000702","81",1,3,"303830","303831","393.77"
"HSZ0007","0007","81","HSZ000702","000702","81",1,4,"303831","303832","177.82"
"HSZ0007","0007","81","HSZ000702","000702","81",1,5,"303832","303833","546.33"
"HSZ0007","0007","81","HSZ000702","000702","81",1,6,"303833","303834","241.98"
"HSZ0007","0007","81","HSZ000702","000702","81",1,7,"303834","303835","1565.14"
"HSZ0007","0007","81","HSZ000702","000702","81",1,8,"303835","303836","591.22"
"HSZ0007","0007","81","HSZ000702","000702","81",1,9,"303836","303837","395.61"
"HSZ0007","0007","81","HSZ000702","000702","81",1,10,"303837","303838","348.67"
"HSZ0007","0007","81","HSZ000702","000702","81",1,11,"303838","303839","201.24"
"HSZ0007","0007","81","HSZ000702","000702","81",1,12,"303839","303840","509.99"
"HSZ0007","0007","81","HSZ000702","000702","81",1,13,"303840","303841","145.19"
"HSZ0007","0007","81","HSZ000702","000702","81",1,14,"303841","303842","308.64"
"HSZ0007","0007","81","HSZ000702","000702","81",1,15,"303842","303843","197.1"
"HSZ0007","0007","81","HSZ000702","000702","81",1,16,"303843","303844","214.28"
"HSZ0007","0007","81","HSZ000702","000702","81",1,17,"303844","303845","351.82"
"HSZ0007","0007","81","HSZ000702","000702","81",1,18,"303845","303846","138.08"
"HSZ0007","0007","81","HSZ000702","000702","81",1,19,"303846","303847","144.28"
"HSZ0007","0007","81","HSZ000702","000702","81",1,20,"303847","303809",""
"HSZ0008","0008","83","HSZ000801","000801","83",0,1,"","303612",""
"HSZ0008","0008","83","HSZ000801","000801","83",0,2,"303612","303610","590.79"
"HSZ0008","0008","83","HSZ000801","000801","83",0,3,"303610","303608","433.72"
"HSZ0008","0008","83","HSZ000801","000801","83",0,4,"303608","303606","193.79"
"HSZ0008","0008","83","HSZ000801","000801","83",0,5,"303606","303604","106"
"HSZ0008","0008","83","HSZ000801","000801","83",0,6,"303604","303602","387.68"
"HSZ0008","0008","83","HSZ000801","000801","83",0,7,"303602","303600","231.36"
"HSZ0008","0008","83","HSZ000801","000801","83",0,8,"303600","303598","319.16"
"HSZ0008","0008","83","HSZ000801","000801","83",0,9,"303598","303596","699.68"
"HSZ0008","0008","83","HSZ000801","000801","83",0,10,"303596","303594","671.01"
