"COUNTYNAME","TOWNNAME","TRA_num"
"南投縣","名間鄉",1
NA,"水里鄉",2
NA,"集集鎮",2
"嘉義市","東區",1
NA,"西區",1
"嘉義縣","大林鎮",1
NA,"民雄鄉",1
NA,"水上鄉",2
"基隆市","七堵區",2
NA,"中山區",1
NA,"中正區",1
NA,"仁愛區",1
NA,"暖暖區",2
"宜蘭縣","五結鄉",2
NA,"冬山鄉",1
NA,"南澳鄉",3
NA,"宜蘭市",1
NA,"礁溪鄉",2
NA,"羅東鎮",1
NA,"蘇澳鎮",5
NA,"頭城鎮",7
"屏東縣","佳冬鄉",1
NA,"南州鄉",1
NA,"屏東市",3
NA,"崁頂鄉",1
NA,"枋寮鄉",2
NA,"枋山鄉",2
NA,"林邊鄉",2
NA,"潮州鎮",3
NA,"獅子鄉",2
NA,"竹田鄉",2
NA,"麟洛鄉",1
"彰化縣","二水鄉",2
NA,"員林市",1
NA,"大村鄉",1
NA,"彰化市",1
NA,"永靖鄉",1
NA,"田中鎮",1
NA,"社頭鄉",1
NA,"花壇鄉",1
"新北市","平溪區",6
NA,"板橋區",2
NA,"樹林區",3
NA,"汐止區",3
NA,"瑞芳區",5
NA,"貢寮區",2
NA,"雙溪區",2
NA,"鶯歌區",1
"新竹市","東區",4
NA,"香山區",2
"新竹縣","新豐鄉",1
NA,"橫山鄉",5
NA,"湖口鄉",2
NA,"竹北市",2
NA,"竹東鎮",4
"桃園市","中壢區",2
NA,"桃園區",1
NA,"楊梅區",4
"臺中市","北屯區",2
NA,"南區",1
NA,"后里區",2
NA,"大甲區",2
NA,"大肚區",2
NA,"東區",2
NA,"沙鹿區",1
NA,"清水區",2
NA,"潭子區",3
NA,"烏日區",3
NA,"西區",1
NA,"豐原區",1
NA,"龍井區",1
"臺北市","中正區",2
NA,"信義區",1
NA,"南港區",1
NA,"萬華區",1
"臺南市","仁德區",3
NA,"六甲區",1
NA,"善化區",1
NA,"官田區",2
NA,"後壁區",1
NA,"新市區",2
NA,"新營區",1
NA,"東區",1
NA,"柳營區",1
NA,"歸仁區",2
NA,"永康區",2
"臺東縣","卑南鄉",1
NA,"大武鄉",1
NA,"太麻里鄉",3
NA,"池上鄉",1
NA,"臺東市",3
NA,"關山鎮",2
NA,"鹿野鄉",3
"花蓮縣","光復鄉",2
NA,"吉安鄉",1
NA,"壽豐鄉",4
NA,"富里鄉",3
NA,"新城鄉",2
NA,"玉里鎮",2
NA,"瑞穗鄉",2
NA,"秀林鄉",4
NA,"花蓮市",1
NA,"鳳林鎮",4
"苗栗縣","三義鄉",1
NA,"後龍鎮",4
NA,"竹南鎮",2
NA,"苑裡鎮",1
NA,"苗栗市",2
NA,"通霄鎮",3
NA,"造橋鄉",2
NA,"銅鑼鄉",1
"雲林縣","斗六市",2
NA,"斗南鎮",2
NA,"林內鄉",1
"高雄市","三民區",5
NA,"大寮區",1
NA,"大樹區",1
NA,"岡山區",1
NA,"左營區",2
NA,"楠梓區",1
NA,"橋頭區",1
NA,"路竹區",2
NA,"鳳山區",1
NA,"鼓山區",3
