Year,Month,Patronage
2019,1,69360
2019,2,71525
2019,3,70824
2019,4,72810
2019,5,72080
2019,6,75929
2019,7,77830
2019,8,79805
2019,9,76235
2019,10,83208
2019,11,79969
2019,12,89204
2020,1,82810
2020,2,58868
2020,3,40737
2020,4,33621
2020,5,37933
2020,6,43162
2020,7,48160
2020,8,53257
2020,9,51550
2020,10,51720
2020,11,51668
2020,12,53423
2021,1,46793
2021,2,41855
2021,3,49168
2021,4,50673
2021,5,27172
2021,6,14197
2021,7,18872
2021,8,29476
2021,9,33598
2021,10,42215
2021,11,46668
2021,12,51258
2022,1,40012
2022,2,39098
2022,3,47692
2022,4,39609
2022,5,30877
2022,6,36888
2022,7,44951
2022,8,48920
2022,9,48863
2022,10,53097
2022,11,61492
2022,12,72154
2023,1,69207
2023,2,74697
2023,3,78160
2023,4,79755
2023,5,80102
2023,6,84347
2023,7,92396
2023,8,100574
2023,9,100648
2023,10,104648
2023,11,107033
2023,12,109808
